scenario,time_s,x,bot,area,vttc_s,dlog,corridor,lateral,proximity,urgency,speed,turn,risk,risk_class,command
frontal_static_obstacle,0.0,0.5,0.25,0.03,8.0,0.1151,False,0.0,0.1858,0.1918,0.8003,0.0,0.1365,LOW,HOLD_COURSE
frontal_static_obstacle,0.2,0.5013,0.257,0.0307,7.93,0.1441,False,0.0025,0.1909,0.2402,0.8003,0.0,0.1365,LOW,HOLD_COURSE
frontal_static_obstacle,0.4,0.5025,0.264,0.0318,7.86,0.1866,False,0.005,0.1963,0.3,0.789,0.0,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,0.6,0.5037,0.271,0.0331,7.79,0.2,False,0.0075,0.2019,0.3,0.789,0.0,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,0.8,0.505,0.278,0.0345,7.72,0.2,False,0.0099,0.2076,0.3,0.789,0.0,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,1.0,0.5062,0.285,0.0361,7.65,0.2,False,0.0124,0.2134,0.3,0.789,0.0,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,1.2,0.5074,0.292,0.0378,7.58,0.2,False,0.0147,0.2192,0.3,0.789,0.0,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,1.4,0.5085,0.299,0.0397,7.51,0.2,False,0.017,0.2252,0.3,0.789,0.0,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,1.6,0.5096,0.306,0.0416,7.44,0.2,False,0.0193,0.2312,0.3,0.789,0.0,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,1.8,0.5107,0.313,0.0436,7.37,0.2,False,0.0214,0.2373,0.3,0.789,0.0,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,2.0,0.5118,0.32,0.0456,7.3,0.2,False,0.0235,0.2435,0.3,0.789,0.0,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,2.2,0.5127,0.327,0.0478,7.23,0.2,False,0.0255,0.2497,0.3,0.789,0.0,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,2.4,0.5137,0.334,0.05,7.16,0.2,False,0.0274,0.256,0.3,0.789,0.0,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,2.6,0.5146,0.341,0.0523,7.09,0.2,False,0.0292,0.2623,0.3,0.789,0.0,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,2.8,0.5154,0.348,0.0546,7.02,0.2,False,0.0308,0.2687,0.3,0.789,0.0,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,3.0,0.5162,0.355,0.057,6.95,0.2,False,0.0324,0.2751,0.3,0.789,0.0,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,3.2,0.5169,0.362,0.0595,6.88,0.2,False,0.0338,0.2816,0.3,0.789,0.0,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,3.4,0.5175,0.369,0.062,6.81,0.2,False,0.0351,0.2881,0.3,0.789,0.0,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,3.6,0.5181,0.376,0.0646,6.74,0.2,False,0.0362,0.2946,0.3,0.789,0.0,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,3.8,0.5186,0.383,0.0672,6.67,0.1966,False,0.0372,0.3012,0.3,0.786,0.0,0.1476,LOW,HOLD_COURSE
frontal_static_obstacle,4.0,0.519,0.39,0.0699,6.6,0.1926,False,0.038,0.3078,0.3,0.7692,0.0,0.1616,LOW,HOLD_COURSE
frontal_static_obstacle,4.2,0.5194,0.397,0.0726,6.53,0.1886,False,0.0387,0.3145,0.3,0.7524,0.0,0.1754,LOW,HOLD_COURSE
frontal_static_obstacle,4.4,0.5196,0.404,0.0753,6.46,0.1846,True,0.0216,0.3212,0.4,0.7041,0.1546,0.2137,LOW,HOLD_COURSE
frontal_static_obstacle,4.6,0.5198,0.411,0.0781,6.39,0.1808,True,0.0218,0.3279,0.4,0.6873,0.1894,0.2271,LOW,HOLD_COURSE
frontal_static_obstacle,4.8,0.52,0.418,0.081,6.32,0.1771,True,0.022,0.3347,0.3951,0.6677,0.2251,0.2423,LOW,HOLD_COURSE
frontal_static_obstacle,5.0,0.52,0.425,0.0839,6.25,0.1734,True,0.022,0.3415,0.3891,0.6476,0.2598,0.2578,LOW,HOLD_COURSE
frontal_static_obstacle,5.2,0.52,0.432,0.0868,6.18,0.1699,True,0.022,0.3483,0.3832,0.6284,0.2917,0.2724,LOW,HOLD_COURSE
frontal_static_obstacle,5.4,0.5198,0.439,0.0898,6.11,0.1665,True,0.0218,0.3552,0.3774,0.625,0.3026,0.2749,LOW,HOLD_COURSE
frontal_static_obstacle,5.6,0.5196,0.446,0.0928,6.04,0.1631,True,0.0216,0.3621,0.3719,0.6224,0.3125,0.277,LOW,HOLD_COURSE
frontal_static_obstacle,5.8,0.5194,0.453,0.0958,5.97,0.1599,True,0.0213,0.369,0.3712,0.6142,0.3286,0.2832,LOW,HOLD_COURSE
frontal_static_obstacle,6.0,0.519,0.46,0.0989,5.9,0.1568,True,0.0209,0.3759,0.3768,0.5981,0.3536,0.2951,LOW,HOLD_COURSE
frontal_static_obstacle,6.2,0.5186,0.467,0.102,5.83,0.1537,True,0.0205,0.3829,0.3827,0.5813,0.3786,0.3073,MEDIUM,TURN_RIGHT_SLOW
frontal_static_obstacle,6.4,0.5181,0.474,0.1052,5.76,0.1508,True,0.0199,0.3899,0.3886,0.5638,0.4015,0.3199,MEDIUM,TURN_RIGHT_SLOW
frontal_static_obstacle,6.6,0.5175,0.481,0.1084,5.69,0.1479,True,0.0193,0.3969,0.3948,0.545,0.4258,0.3332,MEDIUM,TURN_RIGHT_SLOW
frontal_static_obstacle,6.8,0.5169,0.488,0.1116,5.62,0.1452,True,0.0186,0.404,0.4011,0.5249,0.4512,0.347,MEDIUM,TURN_RIGHT_SLOW
frontal_static_obstacle,7.0,0.5162,0.495,0.1148,5.55,0.1425,True,0.0178,0.4111,0.4075,0.5033,0.4779,0.3615,MEDIUM,TURN_RIGHT_SLOW
frontal_static_obstacle,7.2,0.5154,0.502,0.1181,5.48,0.1399,True,0.017,0.4182,0.414,0.48,0.5061,0.3765,MEDIUM,TURN_RIGHT_SLOW
